当座預金口座,返済期間,信用履歴,目的,借入金額,普通預金口座,雇用状況,性別など,保証人など,資産,年齢,その他借入,住居,仕事,電話番号,審査結果
0DM未満,6,要注意人物,新車,4716,口座なし,勤続１年未満,男性／独身,なし,不動産,44,なし,家主,パート/アルバイト,,安全
口座なし,24,遅延なく返済中,ラジオ／テレビ,2284,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,28,なし,家主,正社員,登録あり,安全
口座なし,6,遅延なく返済中,中古車,1236,500～1000DM,勤続1年以上4年未満,男性／独身,なし,生命保険など,50,なし,賃貸,正社員,,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,1103,100DM未満,勤続4年以上7年未満,男性／独身,保証人,不動産,29,なし,家主,正社員,,安全
口座なし,12,要注意人物,新車,926,100DM未満,失業中,女性／離婚・別居・結婚,なし,生命保険など,38,なし,家主,無職,,安全
口座なし,18,要注意人物,ラジオ／テレビ,1800,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,24,なし,家主,正社員,,安全
200DM以上または給与振込口座,15,遅延なく返済中,教育,1905,100DM未満,勤続7年以上,男性／独身,なし,その他資産,40,なし,賃貸,管理者/役員,登録あり,安全
口座なし,12,遅延なく返済中,家具など,1123,500～1000DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,29,なし,賃貸,パート/アルバイト,,リスクあり
0DM未満,48,要注意人物,中古車,6331,100DM未満,勤続7年以上,男性／独身,なし,なし,46,なし,家族と同居,正社員,登録あり,リスクあり
200DM以上または給与振込口座,24,遅延なく返済中,ラジオ／テレビ,1377,100～500DM,勤続7年以上,女性／離婚・別居・結婚,なし,なし,47,なし,家族と同居,正社員,登録あり,安全
200DM未満,30,遅延あり,仕事,2503,100～500DM,勤続7年以上,男性／独身,なし,生命保険など,41,消費者金融,家主,正社員,,安全
200DM未満,27,遅延なく返済中,仕事,2528,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,32,なし,家主,正社員,登録あり,安全
口座なし,15,遅延なく返済中,新車,5324,500～1000DM,勤続7年以上,女性／離婚・別居・結婚,なし,なし,35,なし,家族と同居,正社員,,安全
200DM未満,48,遅延なく返済中,新車,6560,100～500DM,勤続4年以上7年未満,男性／独身,なし,生命保険など,24,なし,家主,正社員,,リスクあり
200DM未満,12,借金なし,家具など,2969,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,25,なし,賃貸,正社員,,リスクあり
200DM未満,9,遅延なく返済中,ラジオ／テレビ,1206,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,不動産,25,なし,家主,正社員,,安全
200DM未満,9,遅延なく返済中,ラジオ／テレビ,2118,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,37,なし,家主,パート/アルバイト,,安全
口座なし,18,要注意人物,ラジオ／テレビ,629,500～1000DM,勤続7年以上,男性／独身,なし,生命保険など,32,銀行,家主,管理者/役員,登録あり,安全
0DM未満,6,当銀行の返済金なし,教育,1198,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,35,なし,家族と同居,正社員,,リスクあり
口座なし,21,遅延なく返済中,中古車,2476,口座なし,勤続7年以上,男性／独身,なし,不動産,46,なし,家主,管理者/役員,登録あり,安全
0DM未満,9,要注意人物,ラジオ／テレビ,1138,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,25,なし,家主,パート/アルバイト,,安全
200DM未満,60,遅延なく返済中,新車,14027,100DM未満,勤続4年以上7年未満,男性／独身,なし,なし,27,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,30,要注意人物,中古車,7596,口座なし,勤続7年以上,男性／独身,なし,その他資産,63,なし,家主,正社員,,安全
口座なし,30,要注意人物,ラジオ／テレビ,3077,口座なし,勤続7年以上,男性／独身,なし,その他資産,40,なし,家主,正社員,登録あり,安全
口座なし,18,遅延なく返済中,ラジオ／テレビ,1505,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,32,なし,家族と同居,管理者/役員,登録あり,安全
200DM以上または給与振込口座,24,要注意人物,ラジオ／テレビ,3148,口座なし,勤続1年以上4年未満,男性／独身,なし,その他資産,31,なし,家主,正社員,登録あり,安全
200DM未満,20,借金なし,中古車,6148,100～500DM,勤続7年以上,男性／既婚・未亡人,なし,その他資産,31,銀行,家主,正社員,登録あり,安全
200DM以上または給与振込口座,9,借金なし,ラジオ／テレビ,1337,100DM未満,勤続１年未満,男性／独身,なし,その他資産,34,なし,家主,管理者/役員,登録あり,リスクあり
200DM未満,6,当銀行の返済金なし,教育,433,1000DM以上,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,24,銀行,賃貸,正社員,,リスクあり
0DM未満,12,遅延なく返済中,新車,1228,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,24,なし,家主,パート/アルバイト,,リスクあり
200DM未満,9,遅延なく返済中,ラジオ／テレビ,790,500～1000DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,66,なし,家主,パート/アルバイト,,安全
口座なし,27,遅延なく返済中,新車,2570,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,21,なし,賃貸,正社員,,リスクあり
口座なし,6,要注意人物,新車,250,1000DM以上,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,41,銀行,家主,パート/アルバイト,,安全
口座なし,15,要注意人物,ラジオ／テレビ,1316,500～1000DM,勤続1年以上4年未満,男性／既婚・未亡人,なし,生命保険など,47,なし,家主,パート/アルバイト,,安全
0DM未満,18,遅延なく返済中,ラジオ／テレビ,1882,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,25,銀行,賃貸,正社員,,リスクあり
200DM未満,48,当銀行の返済金なし,仕事,6416,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,59,なし,賃貸,正社員,,リスクあり
200DM以上または給与振込口座,24,要注意人物,仕事,1275,1000DM以上,勤続1年以上4年未満,男性／離婚・別居,なし,不動産,36,なし,家主,正社員,登録あり,安全
200DM未満,24,遅延あり,ラジオ／テレビ,6403,100DM未満,勤続１年未満,男性／独身,なし,その他資産,33,なし,家主,正社員,,安全
0DM未満,24,遅延なく返済中,ラジオ／テレビ,1987,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,21,なし,賃貸,パート/アルバイト,,リスクあり
200DM未満,8,遅延なく返済中,ラジオ／テレビ,760,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,保証人,不動産,44,なし,家主,パート/アルバイト,,安全
口座なし,24,遅延なく返済中,中古車,2603,1000DM以上,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,28,なし,賃貸,正社員,登録あり,安全
口座なし,4,要注意人物,新車,3380,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,不動産,37,なし,家主,正社員,,安全
200DM未満,36,当銀行の返済金なし,家電,3990,口座なし,勤続１年未満,女性／離婚・別居・結婚,なし,なし,29,銀行,家主,無職,,安全
200DM未満,24,遅延なく返済中,中古車,11560,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,23,なし,賃貸,管理者/役員,,リスクあり
0DM未満,18,遅延なく返済中,新車,4380,100～500DM,勤続1年以上4年未満,男性／独身,なし,その他資産,35,なし,家主,パート/アルバイト,登録あり,安全
口座なし,6,要注意人物,新車,6761,100DM未満,勤続4年以上7年未満,男性／独身,なし,なし,45,なし,家主,管理者/役員,登録あり,安全
200DM未満,30,借金なし,仕事,4280,100～500DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,26,なし,賃貸,パート/アルバイト,,リスクあり
0DM未満,24,当銀行の返済金なし,新車,2325,100～500DM,勤続4年以上7年未満,男性／独身,なし,その他資産,32,銀行,家主,正社員,,安全
200DM未満,10,当銀行の返済金なし,ラジオ／テレビ,1048,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,23,消費者金融,家主,パート/アルバイト,,安全
口座なし,21,遅延なく返済中,ラジオ／テレビ,3160,口座なし,勤続7年以上,男性／独身,なし,生命保険など,41,なし,家主,正社員,登録あり,安全
0DM未満,24,当銀行の返済金なし,家具など,2483,500～1000DM,勤続1年以上4年未満,男性／独身,なし,不動産,22,消費者金融,家主,正社員,登録あり,安全
0DM未満,39,要注意人物,家具など,14179,口座なし,勤続4年以上7年未満,男性／独身,なし,生命保険など,30,なし,家主,管理者/役員,登録あり,安全
0DM未満,13,要注意人物,仕事,1797,100DM未満,勤続１年未満,男性／独身,なし,生命保険など,28,銀行,家主,パート/アルバイト,,安全
0DM未満,15,遅延なく返済中,新車,2511,100DM未満,失業中,女性／離婚・別居・結婚,なし,その他資産,23,なし,賃貸,正社員,,安全
0DM未満,12,遅延なく返済中,新車,1274,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,37,なし,家主,パート/アルバイト,,リスクあり
口座なし,21,遅延なく返済中,中古車,5248,口座なし,勤続1年以上4年未満,男性／独身,なし,その他資産,26,なし,家主,正社員,,安全
口座なし,15,遅延なく返済中,中古車,3029,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,33,なし,家主,正社員,,安全
0DM未満,6,遅延なく返済中,家具など,428,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,生命保険など,49,銀行,家主,正社員,登録あり,安全
0DM未満,18,遅延なく返済中,新車,976,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,23,なし,家主,パート/アルバイト,,リスクあり
200DM未満,12,遅延なく返済中,仕事,841,100～500DM,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,不動産,23,なし,賃貸,パート/アルバイト,,安全
口座なし,30,要注意人物,ラジオ／テレビ,5771,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,25,なし,家主,正社員,,安全
口座なし,12,遅延あり,修理,1555,1000DM以上,勤続7年以上,男性／独身,なし,なし,55,なし,家族と同居,正社員,,リスクあり
0DM未満,24,遅延なく返済中,新車,1285,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,なし,32,なし,賃貸,正社員,,リスクあり
200DM以上または給与振込口座,6,要注意人物,新車,1299,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,74,なし,家主,無職,,安全
200DM以上または給与振込口座,15,要注意人物,ラジオ／テレビ,1271,口座なし,勤続1年以上4年未満,男性／独身,なし,なし,39,なし,家族と同居,正社員,登録あり,リスクあり
口座なし,24,遅延なく返済中,新車,1393,100DM未満,勤続1年以上4年未満,男性／独身,保証人,不動産,31,なし,家主,正社員,登録あり,安全
0DM未満,12,要注意人物,新車,691,100DM未満,勤続7年以上,男性／独身,なし,生命保険など,35,なし,家主,正社員,,リスクあり
口座なし,15,要注意人物,新車,5045,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,59,なし,家主,正社員,登録あり,安全
0DM未満,18,要注意人物,家具など,2124,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,24,なし,賃貸,正社員,,リスクあり
0DM未満,12,遅延なく返済中,ラジオ／テレビ,2214,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,24,なし,家主,パート/アルバイト,,安全
口座なし,21,要注意人物,新車,12680,口座なし,勤続7年以上,男性／独身,なし,なし,30,なし,家族と同居,管理者/役員,登録あり,リスクあり
口座なし,24,要注意人物,新車,2463,100～500DM,勤続4年以上7年未満,男性／既婚・未亡人,なし,生命保険など,27,なし,家主,正社員,登録あり,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,1155,100DM未満,勤続7年以上,男性／既婚・未亡人,保証人,不動産,40,銀行,家主,パート/アルバイト,,安全
0DM未満,30,遅延なく返済中,家具など,3108,100DM未満,勤続１年未満,男性／離婚・別居,なし,生命保険など,31,なし,家主,パート/アルバイト,,リスクあり
口座なし,10,遅延なく返済中,中古車,2901,口座なし,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,31,なし,賃貸,正社員,,安全
200DM未満,12,要注意人物,家具など,3617,100DM未満,勤続7年以上,男性／独身,なし,その他資産,28,なし,賃貸,正社員,登録あり,安全
口座なし,12,要注意人物,ラジオ／テレビ,1655,100DM未満,勤続7年以上,男性／独身,なし,不動産,63,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,24,遅延なく返済中,中古車,2812,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,不動産,26,なし,賃貸,正社員,,安全
0DM未満,36,要注意人物,教育,8065,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,なし,25,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,21,要注意人物,中古車,3275,100DM未満,勤続7年以上,男性／独身,なし,その他資産,36,なし,家主,管理者/役員,登録あり,安全
口座なし,24,要注意人物,ラジオ／テレビ,2223,100～500DM,勤続7年以上,男性／独身,なし,生命保険など,52,銀行,家主,正社員,,安全
200DM以上または給与振込口座,12,要注意人物,新車,1480,500～1000DM,失業中,男性／独身,なし,なし,66,銀行,家族と同居,無職,,安全
0DM未満,24,遅延なく返済中,新車,1371,口座なし,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,25,なし,賃貸,正社員,,リスクあり
口座なし,36,要注意人物,新車,3535,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,37,なし,家主,正社員,登録あり,安全
0DM未満,18,遅延なく返済中,ラジオ／テレビ,3509,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,保証人,不動産,25,なし,家主,正社員,,安全
口座なし,36,要注意人物,中古車,5711,1000DM以上,勤続7年以上,男性／独身,なし,その他資産,38,なし,家主,管理者/役員,登録あり,安全
200DM未満,18,遅延なく返済中,修理,3872,100DM未満,失業中,女性／離婚・別居・結婚,なし,その他資産,67,なし,家主,正社員,登録あり,安全
200DM未満,39,要注意人物,ラジオ／テレビ,4933,100DM未満,勤続4年以上7年未満,男性／独身,保証人,不動産,25,なし,家主,正社員,,リスクあり
口座なし,24,要注意人物,新車,1940,1000DM以上,勤続7年以上,男性／独身,なし,不動産,60,なし,家主,正社員,登録あり,安全
200DM未満,12,借金なし,再教育,1410,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,31,なし,家主,パート/アルバイト,登録あり,安全
200DM未満,12,遅延なく返済中,新車,836,100～500DM,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,23,銀行,家主,パート/アルバイト,,リスクあり
200DM未満,20,遅延なく返済中,中古車,6468,口座なし,失業中,男性／離婚・別居,なし,不動産,60,なし,家主,管理者/役員,登録あり,安全
200DM未満,18,遅延なく返済中,仕事,1941,1000DM以上,勤続1年以上4年未満,男性／独身,なし,生命保険など,35,なし,家主,パート/アルバイト,登録あり,安全
口座なし,22,遅延なく返済中,ラジオ／テレビ,2675,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,40,なし,家主,正社員,,安全
口座なし,48,要注意人物,中古車,2751,口座なし,勤続7年以上,男性／独身,なし,その他資産,38,なし,家主,正社員,登録あり,安全
200DM未満,48,遅延あり,教育,6224,100DM未満,勤続7年以上,男性／独身,なし,なし,50,なし,家族と同居,正社員,,リスクあり
0DM未満,40,要注意人物,教育,5998,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,27,銀行,家主,正社員,登録あり,リスクあり
200DM未満,21,遅延なく返済中,仕事,1188,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,生命保険など,39,なし,家主,正社員,,リスクあり
口座なし,24,遅延なく返済中,中古車,6313,口座なし,勤続7年以上,男性／独身,なし,その他資産,41,なし,家主,管理者/役員,登録あり,安全
口座なし,6,要注意人物,家具など,1221,口座なし,勤続1年以上4年未満,男性／既婚・未亡人,なし,生命保険など,27,なし,家主,正社員,,安全
200DM以上または給与振込口座,24,遅延なく返済中,家具など,2892,100DM未満,勤続7年以上,男性／離婚・別居,なし,なし,51,なし,家族と同居,正社員,,安全
口座なし,24,遅延なく返済中,家具など,3062,500～1000DM,勤続7年以上,男性／独身,なし,なし,32,なし,賃貸,正社員,登録あり,安全
口座なし,9,遅延なく返済中,家具など,2301,100～500DM,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,22,なし,賃貸,正社員,,安全
0DM未満,18,遅延なく返済中,中古車,7511,口座なし,勤続7年以上,男性／独身,なし,生命保険など,51,なし,家族と同居,正社員,登録あり,リスクあり
口座なし,12,要注意人物,家具など,1258,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,22,なし,賃貸,パート/アルバイト,,安全
口座なし,24,遅延あり,新車,717,口座なし,勤続7年以上,男性／既婚・未亡人,なし,その他資産,54,なし,家主,正社員,登録あり,安全
200DM未満,9,遅延なく返済中,新車,1549,口座なし,勤続１年未満,男性／独身,なし,不動産,35,なし,家主,無職,,安全
口座なし,24,要注意人物,教育,1597,100DM未満,勤続7年以上,男性／独身,なし,なし,54,なし,家族と同居,正社員,,安全
200DM未満,18,要注意人物,ラジオ／テレビ,1795,100DM未満,勤続7年以上,女性／離婚・別居・結婚,保証人,不動産,48,銀行,賃貸,パート/アルバイト,登録あり,安全
0DM未満,20,要注意人物,家具など,4272,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,生命保険など,24,なし,家主,正社員,,安全
口座なし,12,要注意人物,ラジオ／テレビ,976,口座なし,勤続7年以上,男性／独身,なし,その他資産,35,なし,家主,正社員,,安全
200DM未満,12,遅延なく返済中,新車,7472,口座なし,失業中,女性／離婚・別居・結婚,なし,不動産,24,なし,賃貸,無職,,安全
0DM未満,36,遅延なく返済中,新車,9271,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,24,なし,家主,正社員,登録あり,リスクあり
200DM未満,6,遅延なく返済中,ラジオ／テレビ,590,100DM未満,勤続１年未満,男性／既婚・未亡人,なし,不動産,26,なし,家主,パート/アルバイト,,安全
口座なし,12,要注意人物,ラジオ／テレビ,930,口座なし,勤続7年以上,男性／独身,なし,不動産,65,なし,家主,正社員,,安全
200DM未満,42,当銀行の返済金なし,中古車,9283,100DM未満,失業中,男性／独身,なし,なし,55,銀行,家族と同居,管理者/役員,登録あり,安全
200DM未満,15,借金なし,新車,1778,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,26,なし,賃貸,無職,,リスクあり
200DM未満,8,遅延なく返済中,仕事,907,100DM未満,勤続１年未満,男性／既婚・未亡人,なし,不動産,26,なし,家主,正社員,登録あり,安全
200DM未満,6,遅延なく返済中,ラジオ／テレビ,484,100DM未満,勤続4年以上7年未満,男性／既婚・未亡人,保証人,不動産,28,銀行,家主,パート/アルバイト,,安全
0DM未満,36,要注意人物,中古車,9629,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,24,なし,家主,正社員,登録あり,リスクあり
0DM未満,48,遅延なく返済中,家電,3051,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,54,なし,家主,正社員,,リスクあり
0DM未満,48,遅延なく返済中,新車,3931,100DM未満,勤続4年以上7年未満,男性／独身,なし,なし,46,なし,家族と同居,正社員,,リスクあり
200DM未満,36,遅延あり,新車,7432,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,54,なし,賃貸,正社員,,安全
口座なし,6,遅延なく返済中,家電,1338,500～1000DM,勤続1年以上4年未満,男性／離婚・別居,なし,不動産,62,なし,家主,正社員,,安全
口座なし,6,要注意人物,ラジオ／テレビ,1554,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,24,なし,賃貸,正社員,登録あり,安全
0DM未満,36,遅延なく返済中,その他,15857,100DM未満,失業中,男性／離婚・別居,連帯債務者,その他資産,43,なし,家主,管理者/役員,,安全
0DM未満,18,遅延なく返済中,ラジオ／テレビ,1345,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,26,銀行,家主,正社員,,リスクあり
口座なし,12,遅延なく返済中,新車,1101,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,27,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,12,遅延なく返済中,ラジオ／テレビ,3016,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,その他資産,24,なし,家主,正社員,,安全
0DM未満,36,遅延なく返済中,家具など,2712,100DM未満,勤続7年以上,男性／独身,なし,生命保険など,41,銀行,家主,正社員,,リスクあり
0DM未満,8,要注意人物,新車,731,100DM未満,勤続7年以上,男性／独身,なし,不動産,47,なし,家主,パート/アルバイト,,安全
口座なし,18,要注意人物,家具など,3780,100DM未満,勤続１年未満,男性／離婚・別居,なし,その他資産,35,なし,家主,管理者/役員,登録あり,安全
0DM未満,21,要注意人物,新車,1602,100DM未満,勤続7年以上,男性／既婚・未亡人,なし,その他資産,30,なし,家主,正社員,登録あり,安全
0DM未満,18,要注意人物,新車,3966,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,不動産,33,銀行,賃貸,正社員,登録あり,リスクあり
口座なし,18,借金なし,仕事,4165,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,36,消費者金融,家主,正社員,,リスクあり
0DM未満,36,遅延なく返済中,中古車,8335,口座なし,勤続7年以上,男性／独身,なし,なし,47,なし,家族と同居,正社員,,リスクあり
200DM未満,48,遅延あり,仕事,6681,口座なし,勤続1年以上4年未満,男性／独身,なし,なし,38,なし,家族と同居,正社員,登録あり,安全
口座なし,24,遅延あり,仕事,2375,500～1000DM,勤続1年以上4年未満,男性／独身,なし,その他資産,44,なし,家主,正社員,登録あり,安全
0DM未満,18,遅延なく返済中,新車,1216,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,23,なし,賃貸,正社員,登録あり,リスクあり
0DM未満,45,借金なし,仕事,11816,100DM未満,勤続7年以上,男性／独身,なし,その他資産,29,なし,賃貸,正社員,,リスクあり
200DM未満,24,遅延なく返済中,ラジオ／テレビ,5084,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,42,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,15,遅延なく返済中,ラジオ／テレビ,2327,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,25,なし,家主,パート/アルバイト,,リスクあり
0DM未満,12,借金なし,新車,1082,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,48,銀行,家主,正社員,,リスクあり
口座なし,12,遅延なく返済中,ラジオ／テレビ,886,口座なし,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,21,なし,家主,正社員,,安全
口座なし,4,遅延なく返済中,家具など,601,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,23,なし,賃貸,パート/アルバイト,,安全
0DM未満,24,要注意人物,中古車,2957,100DM未満,勤続7年以上,男性／独身,なし,生命保険など,63,なし,家主,正社員,登録あり,安全
口座なし,24,要注意人物,ラジオ／テレビ,2611,100DM未満,勤続7年以上,男性／既婚・未亡人,連帯債務者,不動産,46,なし,家主,正社員,,安全
0DM未満,36,遅延なく返済中,家具など,5179,100DM未満,勤続4年以上7年未満,男性／独身,なし,生命保険など,29,なし,家主,正社員,,リスクあり
口座なし,21,遅延あり,中古車,2993,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,28,消費者金融,家主,パート/アルバイト,,安全
口座なし,18,遅延なく返済中,修理,1943,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,23,なし,家主,正社員,,リスクあり
口座なし,24,当銀行の返済金なし,仕事,1559,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,50,銀行,家主,正社員,登録あり,安全
口座なし,18,遅延なく返済中,家具など,3422,100DM未満,勤続7年以上,男性／独身,なし,生命保険など,47,銀行,家主,正社員,登録あり,安全
200DM未満,21,遅延なく返済中,家具など,3976,口座なし,勤続4年以上7年未満,男性／独身,なし,その他資産,35,なし,家主,正社員,登録あり,安全
口座なし,18,遅延なく返済中,新車,6761,口座なし,勤続1年以上4年未満,男性／独身,なし,その他資産,68,なし,賃貸,正社員,,リスクあり
口座なし,24,遅延なく返済中,新車,1249,100DM未満,勤続１年未満,男性／既婚・未亡人,なし,不動産,28,なし,家主,正社員,,安全
0DM未満,9,遅延なく返済中,ラジオ／テレビ,1364,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,59,なし,家主,正社員,,安全
0DM未満,12,遅延なく返済中,ラジオ／テレビ,709,100DM未満,勤続7年以上,男性／独身,なし,不動産,57,消費者金融,家主,パート/アルバイト,,リスクあり
0DM未満,20,要注意人物,新車,2235,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,保証人,生命保険など,33,銀行,賃貸,正社員,,リスクあり
口座なし,24,要注意人物,中古車,4042,口座なし,勤続4年以上7年未満,男性／独身,なし,生命保険など,43,なし,家主,正社員,登録あり,安全
口座なし,15,要注意人物,ラジオ／テレビ,1471,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,35,なし,家族と同居,正社員,登録あり,安全
0DM未満,18,当銀行の返済金なし,新車,1442,100DM未満,勤続4年以上7年未満,男性／独身,なし,なし,32,なし,家族と同居,パート/アルバイト,,リスクあり
口座なし,36,遅延あり,新車,10875,100DM未満,勤続7年以上,男性／独身,なし,その他資産,45,なし,家主,正社員,登録あり,安全
口座なし,24,遅延なく返済中,新車,1474,100～500DM,勤続１年未満,男性／既婚・未亡人,なし,不動産,33,なし,家主,正社員,登録あり,安全
口座なし,10,遅延なく返済中,再教育,894,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,生命保険など,40,なし,家主,正社員,登録あり,安全
口座なし,15,要注意人物,家具など,3343,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,28,なし,家族と同居,正社員,登録あり,安全
0DM未満,15,遅延なく返済中,新車,3959,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,29,なし,家主,正社員,登録あり,リスクあり
口座なし,9,遅延なく返済中,新車,3577,100～500DM,勤続1年以上4年未満,男性／独身,保証人,不動産,26,なし,賃貸,正社員,,安全
口座なし,24,要注意人物,中古車,5804,1000DM以上,勤続1年以上4年未満,男性／独身,なし,不動産,27,なし,家主,正社員,,安全
口座なし,18,遅延あり,仕事,2169,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,その他資産,28,なし,家主,正社員,登録あり,リスクあり
0DM未満,24,遅延なく返済中,ラジオ／テレビ,2439,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,35,なし,家主,正社員,登録あり,リスクあり
口座なし,27,要注意人物,家具など,4526,1000DM以上,勤続１年未満,男性／独身,なし,不動産,32,消費者金融,家主,パート/アルバイト,登録あり,安全
口座なし,10,遅延なく返済中,家具など,2210,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,25,銀行,賃貸,パート/アルバイト,,リスクあり
口座なし,15,遅延なく返済中,家具など,2221,500～1000DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,20,なし,賃貸,正社員,,安全
0DM未満,18,遅延なく返済中,ラジオ／テレビ,2389,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,27,消費者金融,家主,正社員,,安全
口座なし,12,要注意人物,家具など,3331,100DM未満,勤続7年以上,男性／独身,なし,生命保険など,42,消費者金融,家主,正社員,,安全
口座なし,36,遅延なく返済中,仕事,7409,口座なし,勤続7年以上,男性／独身,なし,生命保険など,37,なし,家主,正社員,,安全
0DM未満,12,遅延なく返済中,家具など,652,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,生命保険など,24,なし,賃貸,正社員,,安全
口座なし,36,遅延あり,家具など,7678,500～1000DM,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,40,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,6,要注意人物,新車,1343,100DM未満,勤続7年以上,男性／独身,なし,不動産,46,なし,家主,正社員,,安全
